fala,situacao
Obrigado.,0
"Sr. Presidente, primeiro, eu quero cumprimentar V. Exa. pela decisão madura e equilibrada. Isso permite um ambiente muito mais saudável para o curso da investigação no âmbito desta CPI. A ponderação que faço a V. Exa., em relação ao acordo de procedimento, é concernente aos pedidos de quebra de sigilo. Quanto à requisição de documentos, há um acordo absolutamente razoável aqui. Com relação à quebra, eu faria uma ponderação de que nós não apreciássemos nesse método, sem essa devida avaliação, porque é uma medida mais invasiva. Aí você tem lá os requisitos para a quebra, e não foi possível fazer a verificação de todos esses pedidos constantes na pauta no dia de hoje. Não dá para a gente aprovar quebra de sigilo no varejo. É preciso verificar a fundamentação e a razoabilidade do pedido, porque ele deve ser imprescindível à investigação. Então, a ponderação que faço a V. Exa. é que não se inclua nesse rol do entendimento a questão da quebra de sigilo.",0
"Não. Ela... Veja, Presidente, apenas para concordar com ela em parte, e V. Exa. está certo...",0
"Pela ordem, Sr. Presidente.",0
"Sr. Presidente, apenas a título de esclarecimento, porque nós temos que seguir o Regimento Interno. O nosso Regimento Interno diz que a pauta deve ser disponibilizada com 48 horas de antecedência. E, aí, o Regimento Interno da Câmara dos Deputados apresenta a possibilidade do extrapauta. Então, a minha pergunta a V. Exa. é: a pauta foi disponibilizada sem os requerimentos de quebra de sigilo que a Senadora Eliziane Gama está apresentando agora. Nós vamos votar esses requerimentos sob qual condição? É um extrapauta? Porque, se for extrapauta, precisa primeiro analisar e votar o extrapauta para depois entrar no mérito de cada um desses requerimentos, senão, há a necessidade regimental de respeitar as 48 horas de publicidade da pauta que o Regimento Interno nos impõe, não é uma faculdade.       09:36   R   Na pauta de ontem não estavam incluídos esses requerimentos da Senadora Eliziane Gama. Então, nós chegamos aqui pela manhã e fomos todos pegos de surpresa com inúmeros requerimentos feitos. Não há a mínima possibilidade de nós analisarmos aqui em 20, 30 minutos, os requerimentos apresentados pela Senadora Eliziane Gama, e já queremos votar esses requerimentos?",0
A nossa preocupação...,0
"A nossa preocupação, Presidente, é exclusivamente - para ser claro -, é exclusivamente os requerimentos de quebra de sigilo.",0
Claro.,0
"... quebras de sigilo. Quanto aos outros requerimentos, não há problema por parte da oposição.",0
"Presidente, eu acho que essa posição de V. Exa. de criar esse grupo é fundamental. Agora, das convocações e quebras de sigilo tem que ver a fundamentação, a justificativa. Por exemplo, eu tenho um foco aqui, porque eu já não tenho mais dúvida de que tudo que aconteceu no dia 8 poderia ter sido evitado. Eu tenho já essa conclusão. Então, é evidente que, relacionado a isso, tem pedidos também de quebra de sigilo, mas coisas evidentes. Então, não dá pra... Eu sei que a Relatora citou vários nomes, mas só citou o que interessa à base de Governo. Eu acho que tem outros que também precisam ser ouvidos e teriam que ter o sigilo quebrado. Então, esta Comissão, eu acho que tem esse papel, mas a base de convocação, a base de quebra de sigilo é a justificativa do requerimento. Então, eu tenho alguns que eu gostaria, depois da Comissão, não é? Tenho a justificativa correta para aprovar.",0
"Sr. Presidente, quando eu fiz a proposta de a gente votar os documentos... Porque esta CPI precisa ter material para estudar. Toda CPI faz as oitivas baseada em dados. A gente aqui está invertendo. A gente primeiro faz a oitiva, depois vai estudar o que cada, qual é a implicação de cada figura que a gente está ouvindo. Isso limita a nossa intervenção junto aos depoentes. Em geral, é o contrário, a gente estuda primeiro a situação de cada depoente para depois fazer a oitiva. A gente aqui está invertendo. Então, o que o depoente diz parece que é verdade. Nós estamos fazendo exatamente uma CPI ao contrário, aqui, dessa forma. Então, isso não é investigação. A gente está ouvindo para, depois, estudar o que que tem no sigilo, o que que tem no celular, o que que tem na conta. Isso é uma loucura. Então, o que a gente precisa fazer é primeiro ter os documentos, o que tem na quebra de sigilo, o que que tem no celular, o que que existe, para poder fazer oitiva e questionar o depoente. Então, eu estou achando muito estranho o que está acontecendo aqui. Então, já veio aqui o Silvinei que, claramente, mentiu; já veio aqui o George Washington; já veio aqui o Lawand; tem a empresa Combat, que nós aqui vimos que tem problema com essa empresa, que nós temos que quebrar o sigilo; existe uma indicação da Relatora de fiscalização do PC. Qual é o problema de quebrar esse sigilo para gente poder ter os dados para poder inquirir os próximos? Então, estão querendo encobrir o que aqui? Não estou entendendo qual é a preocupação de membros desta CPI de não ter os dados para poder investigar? Nós estamos querendo inverter a CPI. Eu nunca vi a gente começar ao contrário. A gente primeiro ouve, para depois ver quais são os dados? Qual é o problema? Quem nós estamos querendo encobrir aqui? Não estou entendendo qual é o problema. Se precisar votar individualizado, a gente até vota individualizado. Não tem problema nenhum. Não precisa nem votar em bloco, pode até justificar. Votar em bloco economizaria tempo para poder ouvir o Sr. Mauro Cid, que está aí aguardando, mas, se precisar votar individualizado, a gente vota. Mas não temos por que não quebrar os sigilos para ter os dados para poder inquirir, senão tudo o que falar aqui aparentemente é verdade o que se diz, ou não se diz, porque todo mundo aqui está podendo ficar calado. Então, sinceramente, eu não sei o que que vocês estão tentando encobrir, mas que nós precisamos investigar precisamos. Esta CPI não pode ficar desmoralizada a cada depoimento que acontece aqui. Nós temos que quebrar os sigilos para ter os dados, para poder fazer as inquirições.       09:44   R",1
